Date Published,Product Title,Advisory Title,Category,Post Link,
23 November 2021,PANTENE PRO-V SHAMPOO SILKY & SMOOTH (WITH FOREIGN MARKINGS),FDA Advisory No.2021-2845 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO SILKY & SMOOTH (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2845-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-silky-smooth-with-foreign-markings/,
23 November 2021,PANTENE PRO-V SHAMPOO ANTI HAIR BREAKAGE (WITH FOREIGN MARKINGS),FDA Advisory No.2021-2844 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO ANTI HAIR BREAKAGE (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2844-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-anti-hair-breakage-with-foreign-markings/,
23 November 2021,PANTENE PRO-V SHAMPOO MILKY TREATMENT (WITH FOREIGN MARKINGS),FDA Advisory No.2021-2843 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PANTENE PRO-V SHAMPOO MILKY TREATMENT (WITH FOREIGN MARKINGS),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2843-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-pantene-pro-v-shampoo-milky-treatment-with-foreign-markings/,
23 November 2021,NEEM OIL PLANT SPRAY 500 ML,FDA Advisory No.2021-2842 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) NEEM OIL PLANT SPRAY 500 ML,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2842-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-neem-oil-plant-spray-500-ml/,
23 November 2021,PETITE LAEL LIP POUCH (LP02),FDA Advisory No.2021-2840 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic PETITE LAEL LIP POUCH (LP02),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2840-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-petite-lael-lip-pouch-lp02/,
17 November 2021,NATURE’S INFINITY SUN CREAM SHEA BUTTER SPF 50+,FDA Advisory No.2021-2773 || SUBJECT: Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic NATURE’S INFINITY SUN CREAM SHEA BUTTER SPF 50+,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2773-subjectpublic-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-natures-infinity-sun-cream-shea-butter-spf-50/,
17 November 2021,KING MA AEROSOL INSECTICIDE,FDA Advisory No.2021-2772 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) KING MA AEROSOL INSECTICIDE,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2772-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-king-ma-aerosol-insecticide/,
17 November 2021,NATURE’S INFINITY NONI KERATIN SHAMPOO,FDA Advisory No.2021-2771 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic NATURE’S INFINITY NONI KERATIN SHAMPOO,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2771-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-natures-infinity-noni-keratin-shampoo/,
17 November 2021,THEODORE’S INSECT REPELLANT,FDA Advisory No.2021-2770 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) THEODORE’S INSECT REPELLANT,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2770-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-theodores-insect-repellant/,
17 November 2021,BREYLEE ACNE CLEARING SOAP BAR,FDA Advisory No.2021-2769 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic BREYLEE ACNE CLEARING SOAP BAR,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2769-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-breylee-acne-clearing-soap-bar/,
17 November 2021,THEODORE’S PEST CONTROL COCKROACH SPRAY,FDA Advisory No.2021-2768 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) THEODORE’S PEST CONTROL COCKROACH SPRAY,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2768-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-theodores-pest-control-cockroach-spray/,
17 November 2021,SUN UNIVERSE WAWANG HIGH QUALITY MOSQUITO COIL (GREEN),FDA Advisory No.2021-2767 || Public Health Warning Against the Purchase and Use of Unauthorized Household/Urban Pesticide (H/UP) SUN UNIVERSE WAWANG HIGH QUALITY MOSQUITO COIL (GREEN),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2767-public-health-warning-against-the-purchase-and-use-of-unauthorized-household-urban-pesticide-h-up-sun-universe-wawang-high-quality-mosquito-coil-green/,
17 November 2021,"LIPTINT BY LOVELY COSMETIC (VARIANTS: ARLLAH, MERIEL, ELLA, CRISHA & ARA)","FDA Advisory No.2021-2766 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic LIPTINT BY LOVELY COSMETIC (VARIANTS: ARLLAH, MERIEL, ELLA, CRISHA & ARA)",Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2766-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-liptint-by-lovely-cosmetic-variants-arllah-meriel-ella-crisha-ara/,
17 November 2021,GLUTA WHITE & FIRM PRESSED POWDER (VARIANTS: NATURAL WHITE & POWDER PINK BLUSH),FDA Advisory No.2021-2765 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic GLUTA WHITE & FIRM PRESSED POWDER (VARIANTS: NATURAL WHITE & POWDER PINK BLUSH),Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2765-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-gluta-white-firm-pressed-powder-variants-natural-white-powder-pink-blush/,
17 November 2021,KYLIE LOVE BEAUTY STAY MATTE FOUNDATION & CONCEALER 2-IN1 BB,FDA Advisory No.2021-2764 || Public Health Warning Against the Purchase and Use of Unauthorized Cosmetic KYLIE LOVE BEAUTY STAY MATTE FOUNDATION & CONCEALER 2-IN1 BB,Cosmetic Advisories,https://www.fda.gov.ph/fda-advisory-no-2021-2764-public-health-warning-against-the-purchase-and-use-of-unauthorized-cosmetic-kylie-love-beauty-stay-matte-foundation-concealer-2-in1-bb/,
